"","Week","Song","Artist","Year"
"2797","March 10","Stronger (What Doesn't Kill You)","Kelly Clarkson",2012
"2773","September 24","Moves Like Jagger","Maroon 5 Featuring Christina Aguilera",2011
"2578","December 29","No One","Alicia Keys",2007
"2552","June 30","Umbrella","Rihanna Featuring Jay-Z",2007
"2562","September 08","Big Girls Don't Cry","Fergie",2007
"2475","January 07","Don't Forget About Us","Mariah Carey",2006
"2653","June 06","Boom Boom Pow","The Black Eyed Peas",2009
"2421","December 25","Drop It Like It's Hot","Snoop Dogg Featuring Pharrell",2004
"2891","December 28","Say Something","A Great Big World & Christina Aguilera",2013
"2458","September 10","We Belong Together","Mariah Carey",2005
