"","X","Week","Song","Artist","Year"
"1",792,"October 06","Half-Breed","Cher",1973
"2",766,"April 07","The Night The Lights Went Out In Georgia","Vicki Lawrence",1973
"3",558,"April 12","Aquarius/Let The Sunshine In","The 5th Dimension",1969
"4",530,"September 28","Hey Jude","The Beatles",1968
"5",540,"December 07","Love Child","Diana Ross & The Supremes",1968
"6",447,"February 25","Kind Of A Drag","The Buckinghams",1967
"7",638,"October 24","I'll Be There","Jackson 5",1970
"8",389,"January 15","We Can Work It Out","The Beatles",1966
"9",894,"September 20","Fame","David Bowie",1975
"10",429,"October 22","Reach Out I'll Be There","Four Tops",1966
"11",2797,"March 10","Stronger (What Doesn't Kill You)","Kelly Clarkson",2012
"12",2773,"September 24","Moves Like Jagger","Maroon 5 Featuring Christina Aguilera",2011
"13",2578,"December 29","No One","Alicia Keys",2007
"14",2552,"June 30","Umbrella","Rihanna Featuring Jay-Z",2007
"15",2562,"September 08","Big Girls Don't Cry","Fergie",2007
"16",2475,"January 07","Don't Forget About Us","Mariah Carey",2006
"17",2653,"June 06","Boom Boom Pow","The Black Eyed Peas",2009
"18",2421,"December 25","Drop It Like It's Hot","Snoop Dogg Featuring Pharrell",2004
"19",2891,"December 28","Say Something","A Great Big World & Christina Aguilera",2013
"20",2458,"September 10","We Belong Together","Mariah Carey",2005
